transaction_id;user_id;transaction_time;amount;merchant_id;country;ip_address;device_id;payment_method;status
T000039;U0648;2025-03-09 04:05:00;20,72;M002;GB;192.168.247.89;D0451;bank_transfer;approved
T000040;U0090;2025-01-19 12:49:00;87,67;M009;SE;192.168.74.15;D0618;apple_pay;declined
T000041;U1099;2025-06-28 15:52:00;187,39;M102;PT;192.168.6.202;D0352;card;approved
T000042;U0796;2025-05-02 07:25:00;104,37;M087;ES;192.168.243.70;D0681;bank_transfer;declined
T000043;U0988;2025-04-27 14:47:00;17,33;M009;PT;192.168.201.138;D1868;apple_pay;approved
T000044;U0477;2025-01-23 14:00:00;36,42;M065;DE;192.168.109.130;D0477;google_pay;approved
T000045;U0633;2025-04-01 18:58:00;54,56;M031;IT;192.168.71.12;D1270;card;approved
T000046;U0608;2025-04-19 21:01:00;7,58;M026;IT;192.168.77.60;D1315;paypal;declined
T000047;U0909;2025-06-27 23:03:00;84,93;M095;ES;192.168.76.48;D0570;card;approved
T000048;U0850;2025-04-09 04:17:00;68;M083;DE;192.168.7.189;D0470;bank_transfer;approved
T000049;U0111;2025-04-05 22:20:00;100,88;M117;IT;192.168.100.188;D1642;google_pay;declined
T000050;U0659;2025-01-10 11:39:00;24,36;M024;DE;192.168.46.38;D0133;card;declined
T000051;U0290;2025-01-15 05:30:00;6,37;M027;ES;192.168.10.221;D1214;paypal;approved
T000052;U0873;2025-04-21 07:00:00;26,17;M093;ES;192.168.69.50;D1478;paypal;approved
T000053;U0510;2025-03-29 14:16:00;14,44;M039;GB;192.168.30.146;D1982;bank_transfer;declined
T000054;U0164;2025-05-14 18:56:00;21,32;M047;ES;192.168.251.251;D0965;apple_pay;approved
T000055;U0888;2025-05-19 03:30:00;7,78;M098;GB;192.168.247.160;D0041;apple_pay;declined
T000056;U0615;2025-02-25 16:16:00;31,82;M077;CZ;192.168.143.231;D1489;bank_transfer;approved
T000057;U0929;2025-03-27 10:13:00;19,81;M037;PT;192.168.130.171;D0985;bank_transfer;approved
T000058;U0401;2025-06-18 12:24:00;100,14;M020;DE;192.168.238.52;D0027;bank_transfer;approved
T000059;U0852;2025-04-18 02:21:00;141,92;M051;NL;192.168.40.109;D0787;bank_transfer;approved
T000060;U0146;2025-03-21 10:12:00;87,51;M053;FR;192.168.173.252;D0789;paypal;approved
T000061;U0523;2025-04-29 11:51:00;98,71;M099;NL;192.168.175.45;D1044;bank_transfer;approved
T000062;U0790;2025-03-07 19:02:00;23,07;M119;IT;192.168.228.174;D0497;card;declined
T000063;U0058;2025-01-27 19:51:00;44,83;M090;ES;192.168.193.178;D0536;apple_pay;declined
T000064;U0521;2025-01-17 19:17:00;37,87;M032;RO;192.168.148.60;D1724;card;approved
T000065;U0788;2025-03-19 17:01:00;49,98;M051;FR;192.168.220.28;D1062;apple_pay;approved
T000066;U0518;2025-03-16 22:20:00;15,39;M089;CZ;192.168.184.222;D1349;google_pay;approved
T000067;U0183;2025-06-19 07:18:00;41,44;M014;NL;192.168.181.174;D1668;bank_transfer;approved
T000068;U0816;2025-05-21 20:32:00;15,73;M090;ES;192.168.142.243;D1672;card;approved
T000069;U0856;2025-02-03 22:23:00;22,57;M068;PL;192.168.155.187;D1502;paypal;approved
T000070;U0276;2025-02-08 16:44:00;27,66;M026;CZ;192.168.42.196;D1943;apple_pay;approved
T000071;U0381;2025-06-08 16:08:00;3,43;M026;ES;192.168.124.133;D1658;bank_transfer;declined
T000072;U0838;2025-03-10 18:19:00;40,43;M057;PT;192.168.97.247;D0224;card;approved
T000073;U0256;2025-05-19 10:49:00;3,66;M036;DE;192.168.126.169;D1200;apple_pay;approved
T000074;U0207;2025-04-06 02:06:00;3,52;M002;DE;192.168.82.190;D1363;card;approved
T000075;U0015;2025-04-21 00:32:00;37,95;M049;PL;192.168.165.224;D1909;apple_pay;approved
T000076;U0880;2025-03-10 21:24:00;19,53;M044;NL;192.168.89.97;D0646;bank_transfer;approved
T000077;U0118;2025-06-11 15:36:00;83,57;M046;FR;192.168.59.19;D0007;apple_pay;approved
T000078;U0285;2025-05-05 21:59:00;37,84;M004;CZ;192.168.176.207;D0573;bank_transfer;approved
T000079;U0974;2025-06-09 00:05:00;22,32;M066;IT;192.168.243.231;D0007;card;approved
T000080;U0094;2025-05-15 13:38:00;54,24;M104;RO;192.168.248.89;D0910;google_pay;approved
T000081;U0167;2025-02-05 12:18:00;23,34;M045;GB;192.168.225.18;D1349;apple_pay;approved
T000082;U0294;2025-05-26 01:21:00;30,36;M112;PT;192.168.49.110;D1608;card;approved
T000083;U0179;2025-06-23 20:40:00;72,44;M039;CZ;192.168.20.94;D1792;paypal;declined
T000084;U0237;2025-05-01 02:28:00;44,46;M062;IT;192.168.141.166;D0499;paypal;approved
T000085;U0184;2025-02-10 02:50:00;23,83;M014;DE;192.168.157.148;D0329;apple_pay;approved
T000086;U0528;2025-03-31 13:24:00;26,87;M086;RO;192.168.55.111;D0253;google_pay;approved
T000087;U0186;2025-03-04 11:34:00;48,08;M102;IT;192.168.223.47;D1909;google_pay;approved
T000088;U0773;2025-02-10 16:42:00;51,55;M117;SE;192.168.176.3;D1340;apple_pay;approved
T000089;U0531;2025-05-16 13:17:00;14,75;M015;FR;192.168.214.180;D0183;google_pay;declined
T000090;U0238;2025-02-26 13:54:00;19,34;M074;NL;192.168.27.63;D1954;google_pay;approved
T000091;U0127;2025-06-20 00:22:00;31,68;M076;SE;192.168.207.154;D0868;bank_transfer;approved
T000092;U0259;2025-06-05 04:01:00;44,6;M067;PT;192.168.79.20;D0455;apple_pay;approved
T000093;U0944;2025-01-27 20:06:00;7,25;M041;PL;192.168.52.229;D1715;apple_pay;approved
T000094;U0581;2025-05-06 08:32:00;55,98;M019;DE;192.168.229.156;D1227;bank_transfer;approved
T000095;U0253;2025-06-25 22:41:00;231,4;M036;PT;192.168.33.80;D0980;apple_pay;approved
T000096;U0772;2025-01-10 13:39:00;159,83;M008;NL;192.168.210.158;D0313;paypal;approved
T000097;U0367;2025-03-03 10:10:00;27,74;M110;SE;192.168.152.119;D0613;card;approved
T000098;U0866;2025-05-13 07:14:00;26,65;M087;NL;192.168.90.238;D1552;apple_pay;approved
T000099;U0580;2025-02-28 21:02:00;48,68;M037;IT;192.168.237.38;D1436;apple_pay;approved
T000100;U1189;2025-05-07 16:40:00;66,4;M111;PL;192.168.115.77;D0938;google_pay;approved
T000101;U0989;2025-06-05 20:32:00;92,01;M038;IT;192.168.60.62;D0447;card;approved
T000102;U1179;2025-01-18 11:38:00;46,37;M014;ES;192.168.233.229;D0772;paypal;declined
T000103;U0729;2025-06-26 12:48:00;8,92;M061;DE;192.168.57.147;D0241;bank_transfer;approved
T000104;U0305;2025-02-25 02:28:00;52,28;M081;IT;192.168.63.205;D0070;paypal;approved
T000105;U0354;2025-04-29 09:15:00;55,69;M084;RO;192.168.216.223;D1349;apple_pay;declined
T000106;U0783;2025-01-23 05:15:00;41,02;M036;GB;192.168.243.243;D0753;card;approved
T000107;U1002;2025-04-15 05:51:00;45,2;M083;CZ;192.168.144.155;D0461;google_pay;approved
T000108;U0983;2025-04-28 08:17:00;48,33;M036;FR;192.168.55.122;D1627;paypal;approved
T000109;U0889;2025-05-28 23:28:00;34,89;M039;FR;192.168.208.24;D0667;google_pay;approved
T000110;U0041;2025-06-02 09:32:00;33,48;M051;CZ;192.168.129.130;D1605;apple_pay;approved
T000111;U1198;2025-04-20 01:31:00;51,04;M069;RO;192.168.156.186;D0255;card;approved
T000112;U0369;2025-04-29 19:25:00;33,36;M001;NL;192.168.194.123;D0252;paypal;approved
T000113;U0331;2025-06-25 21:43:00;34,07;M012;DE;192.168.251.52;D0174;google_pay;approved
T000114;U1115;2025-06-22 04:14:00;23;M022;RO;192.168.31.39;D0001;bank_transfer;approved
T000115;U1064;2025-05-07 12:56:00;62,08;M116;RO;192.168.28.162;D1094;paypal;approved
T000116;U0641;2025-01-19 00:34:00;97,67;M067;NL;192.168.204.66;D1242;google_pay;approved
T000117;U0092;2025-02-09 07:53:00;2,5;M031;ES;192.168.40.131;D0614;paypal;approved
T000118;U0736;2025-03-11 12:01:00;6,5;M036;PT;192.168.254.214;D0865;google_pay;approved
T000119;U0335;2025-01-13 20:16:00;25,36;M052;PL;192.168.88.122;D1386;paypal;approved
T000120;U0552;2025-05-30 08:51:00;48,73;M082;IT;192.168.153.253;D1464;google_pay;approved
T000121;U1048;2025-04-20 21:12:00;8,17;M078;ES;192.168.43.248;D0648;apple_pay;approved
T000122;U0507;2025-04-27 12:58:00;13,6;M010;CZ;192.168.85.232;D0226;apple_pay;approved
T000123;U0183;2025-03-10 15:49:00;96,98;M047;PL;192.168.161.238;D0300;bank_transfer;approved
T000124;U0456;2025-05-27 20:57:00;122,28;M049;FR;192.168.114.183;D0360;bank_transfer;approved
T000125;U1003;2025-01-19 00:49:00;31,11;M013;PT;192.168.133.168;D1773;google_pay;approved
T000126;U0099;2025-06-10 13:36:00;16,31;M022;SE;192.168.172.108;D0371;google_pay;approved
T000127;U0825;2025-01-26 23:20:00;36,89;M062;PL;192.168.81.70;D0020;paypal;approved
T000128;U0776;2025-03-18 03:20:00;54,18;M073;DE;192.168.180.232;D1881;paypal;approved
T000129;U0938;2025-06-23 10:02:00;24,12;M024;NL;192.168.62.121;D1636;google_pay;approved
T000130;U0877;2025-02-26 22:22:00;114,67;M067;IT;192.168.220.26;D0626;bank_transfer;approved
T000131;U0185;2025-01-16 09:33:00;4,31;M082;IT;192.168.217.125;D1936;paypal;approved
T000132;U0586;2025-01-25 20:03:00;107,14;M071;DE;192.168.189.231;D1971;google_pay;declined
T000133;U0983;2025-04-23 04:35:00;29,95;M064;RO;192.168.135.133;D1819;card;approved
T000134;U0390;2025-02-14 11:02:00;72,21;M117;DE;192.168.195.104;D1463;google_pay;approved
T000135;U1082;2025-02-01 19:46:00;38,58;M088;PT;192.168.133.142;D0919;google_pay;declined
T000136;U0154;2025-02-01 00:51:00;74,16;M047;CZ;192.168.110.190;D0724;apple_pay;approved
T000137;U0765;2025-03-29 22:48:00;17,5;M015;RO;192.168.78.31;D0512;card;approved
T000138;U0602;2025-06-19 03:20:00;10,58;M034;RO;192.168.25.49;D1165;paypal;declined
T000139;U1056;2025-04-23 01:17:00;90,55;M106;GB;192.168.178.80;D1828;card;approved
T000140;U0943;2025-01-02 14:43:00;15,17;M043;FR;192.168.90.152;D0011;paypal;approved
T000141;U0208;2025-06-16 05:26:00;28,09;M056;FR;192.168.248.201;D1084;paypal;approved
T000142;U0999;2025-02-24 11:35:00;7,77;M001;RO;192.168.231.70;D0513;apple_pay;approved
T000143;U0747;2025-04-30 11:19:00;90,1;M055;CZ;192.168.219.104;D1663;card;declined
T000144;U0900;2025-02-21 20:44:00;7,03;M021;SE;192.168.57.61;D0012;paypal;approved
T000145;U0083;2025-06-22 15:31:00;21,07;M018;NL;192.168.65.50;D1846;paypal;approved
T000146;U0982;2025-05-05 02:33:00;163,81;M086;FR;192.168.72.177;D0863;google_pay;approved
T000147;U0261;2025-01-20 15:19:00;56,63;M042;SE;192.168.96.28;D1028;paypal;approved
T000148;U0044;2025-03-04 06:50:00;7,76;M017;CZ;192.168.158.45;D0028;card;approved
T000149;U0880;2025-05-19 12:25:00;54,49;M077;SE;192.168.221.215;D0984;bank_transfer;approved
T000150;U0879;2025-06-07 07:36:00;39,45;M032;CZ;192.168.120.122;D0383;bank_transfer;approved
T000151;U0540;2025-04-02 10:43:00;12,37;M090;SE;192.168.133.95;D0407;card;approved
T000152;U0372;2025-03-15 01:13:00;196,99;M025;PT;192.168.152.146;D1289;paypal;approved
T000153;U0079;2025-06-07 08:24:00;186,83;M036;ES;192.168.232.74;D0874;google_pay;approved
T000154;U0105;2025-03-29 05:38:00;21,92;M049;PL;192.168.202.128;D1434;paypal;approved
T000155;U0126;2025-06-21 16:01:00;23,28;M066;DE;192.168.52.183;D0624;bank_transfer;approved
T000156;U0719;2025-01-10 11:45:00;22,66;M092;NL;192.168.194.87;D1834;paypal;approved
T000157;U0659;2025-02-15 22:09:00;14,44;M028;PL;192.168.143.224;D1861;card;approved
T000158;U1007;2025-01-24 17:19:00;17,28;M047;FR;192.168.16.221;D0199;google_pay;approved
T000159;U0679;2025-02-13 08:56:00;55,08;M047;NL;192.168.116.226;D1522;google_pay;approved
T000160;U0566;2025-04-20 13:27:00;36,11;M027;FR;192.168.248.50;D1817;paypal;approved
T000161;U0247;2025-06-18 11:34:00;36,33;M006;RO;192.168.105.134;D1675;paypal;approved
T000162;U0203;2025-02-06 18:32:00;114,77;M010;PT;192.168.49.43;D0703;apple_pay;declined
T000163;U1093;2025-06-12 07:24:00;7,67;M093;ES;192.168.57.90;D0393;google_pay;approved
T000164;U1148;2025-03-18 06:39:00;91,12;M045;GB;192.168.150.52;D1290;apple_pay;approved
T000165;U1073;2025-01-24 11:19:00;122,83;M120;DE;192.168.176.51;D0342;bank_transfer;approved
T000166;U0594;2025-04-07 22:23:00;125,76;M006;DE;192.168.159.88;D1627;apple_pay;approved
T000167;U1052;2025-02-19 10:10:00;8,24;M010;CZ;192.168.105.228;D0787;apple_pay;approved
T000168;U0424;2025-05-24 22:23:00;1,14;M024;PT;192.168.159.17;D0447;card;declined
T000169;U1051;2025-02-18 21:09:00;29,03;M059;CZ;192.168.132.105;D0531;paypal;approved
T000170;U1131;2025-01-27 23:13:00;8,51;M016;DE;192.168.186.246;D1093;bank_transfer;approved
T000171;U0569;2025-01-01 06:06:00;6,71;M119;DE;192.168.31.216;D1316;paypal;approved
T000172;U0712;2025-01-25 07:45:00;38,17;M081;NL;192.168.75.202;D0665;google_pay;approved
T000173;U0837;2025-06-25 17:08:00;38,82;M115;NL;192.168.0.154;D0118;bank_transfer;approved
T000174;U0573;2025-05-06 06:25:00;12,83;M023;DE;192.168.162.227;D1101;card;approved
T000175;U0783;2025-03-22 11:56:00;12,9;M084;RO;192.168.233.62;D1300;google_pay;approved
T000176;U0452;2025-05-13 20:35:00;13,52;M042;PT;192.168.103.226;D1290;paypal;approved
T000177;U0889;2025-05-29 11:24:00;7,42;M048;GB;192.168.243.241;D0192;paypal;approved
T000178;U0361;2025-06-11 03:43:00;34,73;M025;ES;192.168.133.168;D1327;card;approved
T000179;U0364;2025-02-14 15:31:00;21,05;M105;PT;192.168.35.61;D0385;paypal;approved
T000180;U0932;2025-05-28 02:10:00;42,44;M117;SE;192.168.253.98;D0206;paypal;approved
T000181;U0025;2025-04-28 07:47:00;5,2;M078;SE;192.168.52.183;D0043;card;approved
T000182;U0090;2025-06-25 22:05:00;12,42;M017;FR;192.168.175.140;D0549;google_pay;approved
T000183;U0020;2025-05-19 07:03:00;5,5;M102;NL;192.168.229.200;D1747;paypal;approved
T000184;U1153;2025-01-11 04:07:00;24,5;M115;ES;192.168.178.89;D0630;apple_pay;approved
T000185;U1114;2025-02-24 00:28:00;13,45;M089;CZ;192.168.109.130;D0253;card;approved
T000186;U0211;2025-03-19 18:10:00;88,02;M066;SE;192.168.101.184;D0291;paypal;approved
T000187;U0790;2025-01-21 01:11:00;18,44;M019;PL;192.168.180.91;D0463;card;approved
T000188;U0460;2025-03-07 15:01:00;126,37;M014;PL;192.168.187.136;D0732;google_pay;approved
T000189;U0174;2025-02-03 00:23:00;2,77;M115;ES;192.168.247.181;D0365;google_pay;approved
T000190;U0871;2025-02-19 08:25:00;90,44;M020;RO;192.168.174.91;D0618;bank_transfer;declined
T000191;U1023;2025-06-28 01:09:00;19,43;M085;PL;192.168.139.213;D1661;card;declined
T000192;U0305;2025-05-24 00:06:00;43,67;M100;NL;192.168.115.9;D0303;apple_pay;approved
T000193;U0980;2025-01-24 05:12:00;3,79;M105;PT;192.168.59.25;D0876;paypal;approved
T000194;U0373;2025-03-17 08:33:00;20,45;M099;NL;192.168.150.16;D1013;apple_pay;approved
T000195;U0683;2025-04-01 11:52:00;65,81;M018;RO;192.168.27.93;D1888;apple_pay;approved
T000196;U1104;2025-05-11 03:32:00;28,14;M069;CZ;192.168.132.235;D1683;apple_pay;approved
T000197;U0864;2025-02-07 00:08:00;35,5;M068;IT;192.168.110.111;D1440;paypal;approved
T000198;U0036;2025-03-07 16:36:00;33,69;M047;ES;192.168.63.73;D1887;card;declined
T000199;U0286;2025-02-10 21:14:00;25,68;M038;CZ;192.168.227.46;D1991;paypal;approved
T000200;U0115;2025-05-08 16:28:00;6,93;M096;ES;192.168.121.222;D0774;apple_pay;approved
T000201;U0218;2025-03-08 11:46:00;35,85;M085;GB;192.168.228.149;D1716;paypal;approved
T000202;U0290;2025-03-27 12:26:00;12,24;M011;DE;192.168.238.146;D1166;paypal;approved
T000203;U0287;2025-04-28 09:22:00;30,98;M096;PL;192.168.67.53;D0963;bank_transfer;approved
T000204;U0028;2025-04-02 14:55:00;5,72;M037;DE;192.168.0.78;D1805;google_pay;approved
T000205;U0329;2025-02-16 23:27:00;21,19;M002;SE;192.168.154.90;D1393;google_pay;approved
T000206;U1172;2025-04-05 22:28:00;15,61;M065;IT;192.168.216.89;D0868;bank_transfer;declined
T000207;U0774;2025-05-30 17:34:00;55,37;M017;SE;192.168.16.60;D1268;paypal;approved
T000208;U1146;2025-01-31 00:07:00;74,73;M078;GB;192.168.46.102;D0978;apple_pay;declined
T000209;U0112;2025-03-08 00:40:00;19,58;M103;SE;192.168.102.188;D0399;card;approved
T000210;U0688;2025-01-02 23:57:00;11,95;M004;ES;192.168.115.36;D1110;card;approved
T000211;U0634;2025-06-27 19:06:00;33,09;M025;RO;192.168.220.202;D1904;paypal;approved
T000212;U1168;2025-02-26 04:18:00;2,84;M073;GB;192.168.181.205;D0094;bank_transfer;approved
T000213;U0018;2025-05-13 02:34:00;56,72;M046;SE;192.168.180.217;D1025;bank_transfer;approved
T000214;U0729;2025-05-27 23:59:00;49,51;M017;FR;192.168.171.119;D0679;google_pay;approved
T000215;U0308;2025-01-28 14:04:00;36,39;M004;SE;192.168.98.114;D0977;card;approved
T000216;U0949;2025-04-30 02:19:00;87,58;M011;FR;192.168.218.45;D1952;paypal;approved
T000217;U0289;2025-03-04 03:39:00;51,71;M099;CZ;192.168.120.102;D1058;google_pay;declined
T000218;U0917;2025-05-21 22:25:00;6,63;M101;PL;192.168.85.10;D0738;card;declined
T000219;U0794;2025-04-01 13:42:00;10,37;M031;PT;192.168.128.174;D1243;paypal;approved
T000220;U0200;2025-02-27 02:39:00;1,6;M104;PL;192.168.110.111;D1121;apple_pay;approved
T000221;U0348;2025-01-13 22:47:00;15,02;M120;FR;192.168.58.251;D0574;bank_transfer;approved
T000222;U0367;2025-01-26 13:37:00;60,13;M091;PL;192.168.208.190;D0970;apple_pay;approved
T000223;U0254;2025-04-23 19:26:00;27,8;M073;NL;192.168.231.30;D1760;apple_pay;approved
T000224;U0265;2025-03-17 05:16:00;19,27;M057;PT;192.168.84.194;D1950;bank_transfer;approved
T000225;U1037;2025-04-13 02:10:00;13,2;M058;RO;192.168.76.233;D0088;paypal;approved
T000226;U0017;2025-01-14 06:50:00;77,71;M020;PL;192.168.68.168;D0770;google_pay;approved
T000227;U0457;2025-04-08 09:57:00;83,91;M050;RO;192.168.17.170;D0192;apple_pay;approved
T000228;U0953;2025-03-01 20:12:00;4,59;M014;FR;192.168.171.145;D1879;apple_pay;approved
T000229;U0133;2025-03-24 18:05:00;17,77;M041;PT;192.168.122.127;D0996;apple_pay;approved
T000230;U0079;2025-06-29 19:48:00;7,77;M070;GB;192.168.198.221;D0299;bank_transfer;approved
T000231;U0779;2025-02-08 12:01:00;111,24;M008;NL;192.168.5.121;D1618;apple_pay;approved
T000232;U0047;2025-02-19 20:42:00;47,04;M098;PL;192.168.106.151;D0517;card;approved
T000233;U0830;2025-06-12 13:53:00;15,17;M011;GB;192.168.246.99;D1785;google_pay;approved
T000234;U0532;2025-02-24 01:11:00;72,01;M024;FR;192.168.19.146;D1833;bank_transfer;declined
T000235;U0337;2025-01-30 06:03:00;18,19;M026;SE;192.168.2.249;D0987;google_pay;approved
T000236;U0895;2025-04-19 16:53:00;98,49;M046;PT;192.168.152.216;D0797;google_pay;approved
T000237;U0407;2025-05-30 21:56:00;52,31;M010;PT;192.168.74.75;D1263;bank_transfer;approved
T000238;U0649;2025-01-21 16:21:00;7,52;M002;GB;192.168.45.167;D1913;apple_pay;declined
T000239;U0833;2025-04-16 06:58:00;30,42;M034;DE;192.168.148.229;D0923;apple_pay;approved
T000240;U0200;2025-02-09 08:19:00;10,87;M005;IT;192.168.207.223;D0861;paypal;approved
T000241;U0713;2025-01-03 22:44:00;122,78;M027;RO;192.168.242.207;D1182;bank_transfer;approved
T000242;U0619;2025-03-06 00:43:00;15,67;M115;FR;192.168.250.128;D1433;apple_pay;approved
T000243;U0722;2025-03-25 12:37:00;32,28;M107;CZ;192.168.137.47;D1995;card;declined
T000244;U0878;2025-06-03 20:15:00;8,79;M048;PT;192.168.218.76;D0334;apple_pay;approved
T000245;U0896;2025-01-19 21:33:00;14,32;M082;PT;192.168.75.61;D1921;card;approved
T000246;U0184;2025-01-19 03:36:00;1,66;M084;SE;192.168.53.102;D0213;google_pay;declined
T000247;U0910;2025-05-22 10:14:00;35,82;M065;DE;192.168.88.188;D1368;apple_pay;approved
T000248;U0932;2025-05-25 11:57:00;20,19;M071;IT;192.168.39.28;D1754;card;approved
T000249;U0951;2025-05-23 09:28:00;96,44;M053;RO;192.168.83.184;D1442;card;declined
T000250;U0459;2025-01-01 18:09:00;14,34;M065;RO;192.168.58.47;D0542;apple_pay;approved
T000251;U0850;2025-04-20 05:12:00;1,63;M005;ES;192.168.153.10;D1619;google_pay;declined
T000252;U0651;2025-02-05 01:44:00;8,47;M043;PT;192.168.34.90;D0881;google_pay;declined
T000253;U0806;2025-02-01 14:58:00;3,12;M107;PT;192.168.78.78;D0879;apple_pay;declined
T000254;U0826;2025-01-23 23:56:00;16,32;M116;ES;192.168.236.13;D0896;card;approved
T000255;U1033;2025-02-28 16:36:00;40,93;M016;SE;192.168.10.222;D1727;google_pay;approved
T000256;U0418;2025-05-09 19:26:00;4,92;M012;SE;192.168.170.134;D0024;paypal;approved
T000257;U1114;2025-04-26 12:00:00;144,6;M118;PT;192.168.65.11;D0784;paypal;declined
T000258;U0734;2025-05-13 05:18:00;11,96;M024;IT;192.168.95.94;D0609;google_pay;declined
T000259;U0775;2025-04-27 05:09:00;13,07;M099;DE;192.168.110.209;D0564;paypal;approved
T000260;U1187;2025-02-21 10:05:00;5,37;M111;GB;192.168.5.117;D1899;card;approved
T000261;U0537;2025-03-31 09:22:00;8,97;M115;FR;192.168.162.252;D1013;paypal;approved
T000262;U0045;2025-02-27 02:04:00;4,06;M053;RO;192.168.179.185;D0157;apple_pay;approved
T000263;U0924;2025-06-05 14:43:00;8,03;M104;PL;192.168.194.22;D0021;google_pay;approved
T000264;U0065;2025-04-05 23:33:00;150,05;M016;NL;192.168.169.219;D0992;google_pay;approved
T000265;U0522;2025-05-19 12:41:00;6,19;M119;PT;192.168.168.7;D0061;card;approved
T000266;U0313;2025-02-10 00:09:00;81,66;M028;FR;192.168.5.42;D1841;card;approved
T000267;U0171;2025-01-17 17:49:00;48,05;M094;ES;192.168.59.107;D0549;apple_pay;approved
T000268;U0714;2025-03-14 19:22:00;33,07;M091;PL;192.168.35.230;D0957;apple_pay;approved
T000269;U0396;2025-05-25 09:20:00;8,6;M033;RO;192.168.224.47;D1733;apple_pay;approved
T000270;U0639;2025-02-19 10:57:00;64,21;M022;GB;192.168.54.162;D0888;apple_pay;approved
T000271;U0653;2025-06-13 10:57:00;5,55;M080;SE;192.168.111.254;D0880;google_pay;approved
T000272;U0132;2025-02-23 10:12:00;8,32;M058;DE;192.168.236.38;D1963;bank_transfer;approved
T000273;U1087;2025-03-07 03:00:00;21,32;M046;FR;192.168.66.231;D0369;apple_pay;approved
